databreachcause,washingtoniansaffected,industrytype
2.0,1355.0,0.0
2.0,1355.0,0.0
2.0,2527.0,0.0
2.0,2527.0,0.0
2.0,2527.0,0.0
0.0,511.0,0.0
0.0,511.0,0.0
0.0,7916.0,4.0
0.0,7916.0,4.0
0.0,7916.0,4.0
0.0,7916.0,4.0
0.0,7916.0,4.0
2.0,611.0,4.0
2.0,611.0,4.0
2.0,611.0,4.0
2.0,611.0,4.0
0.0,73508.0,0.0
0.0,73508.0,0.0
0.0,625.0,0.0
0.0,625.0,0.0
2.0,2613.0,2.0
2.0,2613.0,2.0
2.0,2613.0,2.0
0.0,5428.0,0.0
0.0,5428.0,0.0
1.0,12724.0,4.0
1.0,12724.0,4.0
1.0,12724.0,4.0
1.0,12724.0,4.0
0.0,1463.0,0.0
0.0,1463.0,0.0
2.0,1449645.0,3.0
2.0,1449645.0,3.0
2.0,1449645.0,3.0
2.0,1449645.0,3.0
2.0,1449645.0,3.0
1.0,1505.0,2.0
1.0,1505.0,2.0
1.0,1505.0,2.0
1.0,1505.0,2.0
2.0,1198.0,0.0
2.0,1198.0,0.0
2.0,1198.0,0.0
2.0,1198.0,0.0
0.0,633.0,0.0
0.0,633.0,0.0
0.0,633.0,0.0
0.0,549.0,0.0
0.0,549.0,0.0
0.0,549.0,0.0
0.0,755.0,0.0
0.0,755.0,0.0
0.0,755.0,0.0
0.0,556.0,2.0
0.0,556.0,2.0
0.0,556.0,2.0
0.0,556.0,2.0
0.0,512.0,0.0
0.0,512.0,0.0
0.0,512.0,0.0
1.0,1223.0,4.0
1.0,1223.0,4.0
1.0,1223.0,4.0
1.0,1223.0,4.0
1.0,1223.0,4.0
2.0,2470.0,2.0
2.0,2470.0,2.0
2.0,2470.0,2.0
2.0,2470.0,2.0
2.0,353388.0,4.0
2.0,353388.0,4.0
2.0,353388.0,4.0
2.0,353388.0,4.0
0.0,9700.0,0.0
0.0,9700.0,0.0
0.0,9700.0,0.0
0.0,1522.0,4.0
0.0,1522.0,4.0
0.0,1522.0,4.0
0.0,1522.0,4.0
0.0,1522.0,4.0
2.0,1197.0,2.0
2.0,1197.0,2.0
2.0,1197.0,2.0
2.0,1197.0,2.0
2.0,7288.0,0.0
2.0,7288.0,0.0
2.0,7288.0,0.0
2.0,7288.0,0.0
2.0,558.0,0.0
2.0,558.0,0.0
2.0,558.0,0.0
0.0,1547.0,0.0
0.0,1547.0,0.0
0.0,1547.0,0.0
0.0,1819.0,0.0
0.0,1819.0,0.0
0.0,1819.0,0.0
0.0,784.0,0.0
0.0,784.0,0.0
0.0,784.0,0.0
0.0,1178.0,0.0
0.0,1178.0,0.0
0.0,1178.0,0.0
1.0,6300.0,0.0
1.0,6300.0,0.0
1.0,6300.0,0.0
0.0,746.0,0.0
0.0,746.0,0.0
0.0,746.0,0.0
0.0,1013.0,0.0
0.0,1013.0,0.0
0.0,1013.0,0.0
0.0,725.0,0.0
0.0,725.0,0.0
0.0,725.0,0.0
0.0,778.0,0.0
0.0,778.0,0.0
0.0,778.0,0.0
0.0,847.0,0.0
0.0,847.0,0.0
0.0,847.0,0.0
0.0,1274.0,0.0
0.0,1274.0,0.0
0.0,1274.0,0.0
0.0,639.0,0.0
0.0,639.0,0.0
0.0,639.0,0.0
0.0,524.0,0.0
0.0,524.0,0.0
0.0,524.0,0.0
0.0,1495.0,0.0
0.0,1495.0,0.0
0.0,1495.0,0.0
2.0,1291.0,2.0
2.0,1291.0,2.0
2.0,1291.0,2.0
2.0,1291.0,2.0
2.0,1291.0,2.0
0.0,18172.0,0.0
0.0,18172.0,0.0
0.0,18172.0,0.0
0.0,18172.0,0.0
0.0,803.0,0.0
0.0,803.0,0.0
0.0,803.0,0.0
